# session boot=1 t=107.426
117.640 j1850: 28 1B 10 02 16 7C 11 | CRC OK
117.706 j1850: 28 1B 10 02 16 2C CF | CRC OK
117.772 j1850: 28 1B 10 02 16 28 BB | CRC OK
117.787 j1850: A8 3B 10 03 00 00 | CRC OK | gear=0x00->N
117.837 j1850: 28 1B 10 02 16 24 27 | CRC OK
117.903 j1850: 28 1B 10 02 16 50 0A | CRC OK
117.968 j1850: 28 1B 10 02 16 AC E9 | CRC OK
118.034 j1850: 28 1B 10 02 16 A8 9D | CRC OK
118.099 j1850: 28 1B B0 02 16 60 40 | CRC BAD
118.130 j1850: 68 88 10 03 44 | CRC OK
118.139 j1850: C8 88 10 0E BA | CRC OK
118.153 j1850: C8 89 60 03 9F | CRC OK
118.164 j1850: 28 1B 10 02 16 34 EA | CRC OK
118.169 j1850: E8 89 60 0E 54 | CRC OK
118.230 j1850: 28 1B 10 02 16 38 76 | CRC OK
118.279 j1850: A8 3B 10 03 00 00 | CRC OK | gear=0x00->N
118.296 j1850: 28 1B 10 02 15 FC E3 | CRC OK
118.361 j1850: 28 1B 10 02 16 44 B3 | CRC OK
118.427 j1850: 28 1B 10 02 16 70 8D | CRC OK
118.492 j1850: 28 1B 10 02 16 5C 96 | CRC OK
118.541 j1850: A8 49 10 10 42 95 | CRC OK | temp=0x42
118.558 j1850: 28 1B 10 02 16 6C DC | CRC OK
118.583 j1850: A8 83 10 0A 02 44 3C | CRC OK
118.623 j1850: 28 1B 10 02 15 64 E0 | CRC OK
118.689 j1850: 28 1B 10 02 15 24 F3 | CRC OK
118.754 j1850: 28 1B 10 02 15 58 36 | CRC OK
118.770 j1850: A8 3B 10 03 00 00 | CRC OK | gear=0x00->N
118.820 j1850: 28 1B 10 02 15 A4 D5 | CRC OK
118.886 j1850: 28 1B 10 02 16 E0 66 | CRC OK
118.951 j1850: 28 1B 10 02 16 F4 DF | CRC OK
119.017 j1850: 28 1B 10 02 16 A8 9D | CRC OK
119.082 j1850: 28 1B 10 02 16 B4 CC | CRC OK
119.130 j1850: 68 FF 10 03 86 | CRC OK
119.138 j1850: 68 88 10 03 44 | CRC OK
119.147 j1850: 28 1B 10 02 15 E8 5A | CRC OK
119.151 j1850: C8 89 60 03 9F | CRC OK
119.157 j1850: C8 88 10 0E BA | CRC OK
119.174 j1850: E8 89 60 0E 54 | CRC OK
119.180 j1850: 68 FF 60 03 AD | CRC OK
119.213 j1850: 28 1B 10 02 16 38 76 | CRC OK
119.262 j1850: A8 3B 10 03 00 00 | CRC OK | gear=0x00->N
119.279 j1850: 28 1B 10 02 16 20 53 | CRC OK
119.344 j1850: 28 1B 10 02 15 E0 B2 | CRC OK
119.410 j1850: 28 1B 10 02 15 FC E3 | CRC OK
119.476 j1850: 28 1B 10 02 15 88 CE | CRC OK
119.528 j1850: 68 FF 40 03 D8 | CRC OK
119.541 j1850: 28 1B 10 02 15 A8 49 | CRC OK
119.606 j1850: 28 1B 10 02 15 64 E0 | CRC OK
119.672 j1850: 28 1B 10 02 15 78 B1 | CRC OK
119.738 j1850: 28 1B 10 02 16 8C 6E | CRC OK
119.753 j1850: A8 3B 10 03 00 00 | CRC OK | gear=0x00->N
119.803 j1850: 28 1B 10 02 16 C0 E1 | CRC OK
119.869 j1850: 28 1B 10 02 16 18 F1 | CRC OK
119.934 j1850: 28 1B 10 02 16 74 F9 | CRC OK
120.000 j1850: 28 1B 10 02 16 E4 12 | CRC OK
120.065 j1850: 28 1B 10 02 16 A0 75 | CRC OK
120.131 j1850: 28 1B 10 02 16 58 E2 | CRC OK
120.137 j1850: 68 88 10 03 44 | CRC OK
120.144 j1850: C8 89 60 03 9F | CRC OK
120.150 j1850: C8 88 10 0E BA | CRC OK
120.169 j1850: E8 89 60 0E 54 | CRC OK
120.196 j1850: 28 1B 10 02 16 5C 96 | CRC OK
120.245 j1850: A8 3B 10 03 00 00 | CRC OK | gear=0x00->N
120.262 j1850: 28 1B 10 02 16 88 1A | CRC OK
120.327 j1850: 28 1B 10 02 16 D0 2C | CRC OK
120.393 j1850: 28 1B 10 02 16 68 A8 | CRC OK
120.459 j1850: 28 1B 10 02 16 50 0A | CRC OK
120.524 j1850: 28 1B 10 02 15 CC A9 | CRC OK
120.590 j1850: 28 1B 10 02 16 30 9E | CRC OK
120.614 j1850: A8 83 10 0A 02 58 6D | CRC OK
120.655 j1850: 28 1B 10 02 15 DC 64 | CRC OK
120.721 j1850: 28 1B 10 02 15 B0 6C | CRC OK
120.736 j1850: A8 3B 10 03 00 00 | CRC OK | gear=0x00->N
120.787 j1850: 28 1B 10 02 16 68 A8 | CRC OK
120.852 j1850: 28 1B 10 02 16 94 4B | CRC OK
120.917 j1850: 28 1B 10 02 16 E0 66 | CRC OK
120.983 j1850: 28 1B 10 02 16 04 A0 | CRC OK
121.048 j1850: 28 1B 10 02 15 AC 3D | CRC OK
121.114 j1850: 28 1B 10 02 15 BC F0 | CRC OK
121.129 j1850: 68 FF 10 03 86 | CRC OK
121.137 j1850: 68 88 10 03 44 | CRC OK
121.145 j1850: C8 88 10 0E BA | CRC OK
121.170 j1850: C8 89 60 03 9F | CRC OK
121.174 j1850: E8 89 60 0E 54 | CRC OK
121.182 j1850: 28 1B 10 02 15 98 03 | CRC OK
121.190 j1850: 68 FF 60 03 AD | CRC OK
121.228 j1850: A8 3B 10 03 00 00 | CRC OK | gear=0x00->N
121.245 j1850: 28 1B 10 02 16 80 F2 | CRC OK
121.310 j1850: 28 1B 10 02 16 54 7E | CRC OK
121.376 j1850: 28 1B 10 02 16 4C 5B | CRC OK
121.442 j1850: 28 1B 10 02 16 9C A3 | CRC OK
121.507 j1850: 28 1B 10 02 16 0C 48 | CRC OK
121.558 j1850: 68 FF 40 03 D8 | CRC OK
121.573 j1850: 28 1B 10 02 15 D4 8C | CRC OK
121.638 j1850: 28 1B 10 02 16 0C 48 | CRC OK
121.704 j1850: 28 1B 10 02 16 44 B3 | CRC OK
121.719 j1850: A8 3B 10 03 00 00 | CRC OK | gear=0x00->N
121.770 j1850: 28 1B 10 02 16 AC E9 | CRC OK
121.835 j1850: 28 1B 10 02 16 CC 7D | CRC OK
121.900 j1850: 28 1B 10 02 16 D0 2C | CRC OK
121.949 j1850: A8 49 10 10 43 88 | CRC OK | temp=0x43
121.966 j1850: 28 1B 10 02 16 8C 6E | CRC OK
122.032 j1850: 28 1B 10 02 16 30 9E | CRC OK
122.097 j1850: 28 1B 10 02 16 70 8D | CRC OK
122.128 j1850: 68 88 10 03 44 | CRC OK
122.135 j1850: C8 88 10 0E BA | CRC OK
122.141 j1850: C8 89 60 03 9F | CRC OK
122.161 j1850: 28 1B 10 02 15 D4 8C | CRC OK
122.167 j1850: E8 89 60 0E 54 | CRC OK
122.211 j1850: A8 3B 10 03 00 00 | CRC OK | gear=0x00->N
122.228 j1850: 28 1B 10 02 15 B4 18 | CRC OK
122.294 j1850: 28 1B 10 02 16 90 3F | CRC OK
122.359 j1850: 28 1B 10 02 16 E4 12 | CRC OK
122.621 j1850: 28 1B 18 02 17 4C D7 | CRC BAD
122.687 j1850: 28 1B 10 02 17 34 A6 | CRC OK
122.695 j1850: A8 83 10 0A 02 6C 53 | CRC OK
122.703 j1850: A8 3B 10 03 00 00 | CRC OK | gear=0x00->N
122.753 j1850: 28 1B 10 02 17 30 D2 | CRC OK
122.818 j1850: 28 1B 10 02 17 14 21 | CRC OK
122.883 j1850: 28 1B 10 02 16 78 65 | CRC OK
122.949 j1850: 28 1B 10 02 15 C0 35 | CRC OK
123.014 j1850: 28 1B 10 02 15 BC F0 | CRC OK
123.080 j1850: 28 1B 10 02 15 E0 B2 | CRC OK
123.128 j1850: 68 FF 10 03 86 | CRC OK
123.136 j1850: 68 88 10 03 44 | CRC OK
123.146 j1850: 28 1B 10 02 15 88 CE | CRC OK
123.153 j1850: C8 88 10 0E BA | CRC OK
123.159 j1850: C8 89 60 03 9F | CRC OK
123.165 j1850: E8 89 60 0E 54 | CRC OK
123.194 j1850: A8 3B 10 03 00 00 | CRC OK | gear=0x00->N
123.206 j1850: 68 FF 60 03 AD | CRC OK
123.213 j1850: 28 1B 10 02 16 14 6D | CRC OK
123.277 j1850: 28 1B 10 02 16 58 E2 | CRC OK
123.342 j1850: 28 1B 10 02 16 E0 66 | CRC OK
123.408 j1850: 28 1B 10 02 16 D4 58 | CRC OK
123.474 j1850: 28 1B 10 02 16 28 BB | CRC OK
123.539 j1850: 28 1B 10 02 15 BC F0 | CRC OK
123.588 j1850: 68 FF 40 03 D8 | CRC OK
123.604 j1850: 28 1B 10 02 15 D0 F8 | CRC OK
123.670 j1850: 28 1B 10 02 16 04 A0 | CRC OK
123.686 j1850: A8 3B 10 03 00 00 | CRC OK | gear=0x00->N
123.735 j1850: 28 1B 10 02 16 40 C7 | CRC OK
123.801 j1850: 28 1B 10 02 16 94 4B | CRC OK
123.867 j1850: 28 1B 10 02 15 8C BA | CRC OK
123.932 j1850: 28 1B 10 02 15 D8 10 | CRC OK
123.997 j1850: 28 1B 10 02 15 D0 F8 | CRC OK
124.063 j1850: 28 1B 10 02 15 AC 3D | CRC OK
124.129 j1850: 28 1B 10 02 15 A0 A1 | CRC OK
124.135 j1850: 68 88 10 03 44 | CRC OK
124.144 j1850: C8 88 10 0E BA | CRC OK
124.155 j1850: C8 89 60 03 9F | CRC OK
124.161 j1850: E8 89 60 0E 54 | CRC OK
124.177 j1850: A8 3B 10 03 00 00 | CRC OK | gear=0x00->N
124.194 j1850: 28 1B 10 02 16 38 76 | CRC OK
124.260 j1850: 28 1B 10 02 16 BC 24 | CRC OK
124.325 j1850: 28 1B 10 02 16 B0 B8 | CRC OK
124.391 j1850: 28 1B 10 02 16 E8 8E | CRC OK
124.456 j1850: 28 1B 10 02 15 BC F0 | CRC OK
124.522 j1850: 28 1B 10 02 15 94 9F | CRC OK
124.587 j1850: 28 1B 10 02 16 0C 48 | CRC OK
124.653 j1850: 28 1B 10 02 15 7C C5 | CRC OK
124.669 j1850: A8 3B 10 03 00 00 | CRC OK | gear=0x00->N
124.718 j1850: 28 1B 10 02 15 58 36 | CRC OK
124.760 j1850: A8 83 10 0A 02 80 7D | CRC OK
124.784 j1850: 28 1B 10 02 15 30 4A | CRC OK
124.850 j1850: 28 1B 10 02 15 30 4A | CRC OK
124.915 j1850: 28 1B 10 02 15 6C 08 | CRC OK
124.980 j1850: 28 1B 10 02 15 58 36 | CRC OK
125.046 j1850: 28 1B 10 02 15 90 EB | CRC OK
125.112 j1850: 28 1B 10 02 16 7C 11 | CRC OK
125.126 j1850: 68 FF 10 03 86 | CRC OK
125.135 j1850: 68 88 10 03 44 | CRC OK
125.143 j1850: C8 88 10 0E BA | CRC OK
125.153 j1850: C8 89 60 03 9F | CRC OK
125.159 j1850: A8 3B 10 03 00 00 | CRC OK | gear=0x00->N
125.165 j1850: E8 89 60 0E 54 | CRC OK
125.178 j1850: 28 1B 10 02 16 8C 6E | CRC OK
125.224 j1850: 68 FF 60 03 AD | CRC OK
125.243 j1850: 28 1B 10 02 16 00 D4 | CRC OK
125.308 j1850: 28 1B 10 02 16 6C DC | CRC OK
125.374 j1850: 28 1B 10 02 16 44 B3 | CRC OK
125.439 j1850: 28 1B 10 02 15 88 CE | CRC OK
125.488 j1850: A8 49 10 10 44 DB | CRC OK | temp=0x44
125.505 j1850: 28 1B 10 02 16 34 EA | CRC OK
125.570 j1850: 28 1B 10 02 17 24 6B | CRC OK
125.618 j1850: 68 FF 40 03 D8 | CRC OK
125.636 j1850: 28 1B 10 02 17 14 21 | CRC OK
125.652 j1850: A8 3B 10 03 00 00 | CRC OK | gear=0x00->N
125.701 j1850: 28 1B 10 02 16 14 6D | CRC OK
125.767 j1850: 28 1B 10 02 16 74 F9 | CRC OK
125.833 j1850: 28 1B 10 02 16 3C 02 | CRC OK
125.898 j1850: 28 1B 10 02 16 C0 E1 | CRC OK
125.964 j1850: 28 1B 10 02 16 98 D7 | CRC OK
126.029 j1850: 28 1B 10 02 16 E0 66 | CRC OK
126.095 j1850: 28 1B 10 02 16 80 F2 | CRC OK
126.126 j1850: 68 88 10 03 44 | CRC OK
126.132 j1850: C8 89 60 03 9F | CRC OK
126.138 j1850: C8 88 10 0E BA | CRC OK
126.145 j1850: E8 89 60 0E 54 | CRC OK
126.151 j1850: A8 3B 10 03 00 00 | CRC OK | gear=0x00->N
126.160 j1850: 28 1B 10 02 16 24 27 | CRC OK
126.226 j1850: 28 1B 10 02 16 BC 24 | CRC OK
126.291 j1850: 28 1B 10 02 16 A4 01 | CRC OK
126.357 j1850: 28 1B 10 02 16 5C 96 | CRC OK
126.422 j1850: 28 1B 10 02 16 98 D7 | CRC OK
126.488 j1850: 28 1B 10 02 15 8C BA | CRC OK
126.553 j1850: 28 1B 10 02 15 5C 42 | CRC OK
126.619 j1850: 28 1B 10 02 15 7C C5 | CRC OK
126.635 j1850: A8 3B 10 03 00 00 | CRC OK | gear=0x00->N
126.685 j1850: 28 1B 10 02 15 F4 0B | CRC OK
126.750 j1850: 28 1B 10 02 16 54 7E | CRC OK
