# session boot=3 t=16.945
48.327 j1850: 28 1B 10 02 00 00 D5 | CRC OK
48.393 j1850: 28 1B 10 02 00 00 D5 | CRC OK
48.409 j1850: A8 3B 10 03 00 00 | CRC OK | load=0x00
48.459 j1850: 28 1B 10 02 00 00 D5 | CRC OK
48.524 j1850: 28 1B 10 02 00 00 D5 | CRC OK
48.539 j1850: 68 FF 10 03 86 | CRC OK
48.547 j1850: 68 88 10 03 44 | CRC OK
48.556 j1850: C8 88 10 0E BA | CRC OK
48.563 j1850: C8 89 60 03 9F | CRC OK
48.569 j1850: E8 89 60 0E 54 | CRC OK
48.590 j1850: 28 1B 10 02 00 00 D5 | CRC OK
48.655 j1850: 28 1B 10 02 00 00 D5 | CRC OK
48.721 j1850: 28 1B 10 02 00 00 D5 | CRC OK
48.786 j1850: 28 1B 10 02 00 00 D5 | CRC OK
48.852 j1850: 28 1B 10 02 00 00 D5 | CRC OK
48.900 j1850: A8 3B 10 03 00 00 | CRC OK | load=0x00
48.917 j1850: 28 1B 10 02 00 00 D5 | CRC OK
48.983 j1850: 28 1B 10 02 00 00 D5 | CRC OK
49.048 j1850: 28 1B 10 02 00 00 D5 | CRC OK
49.114 j1850: 28 1B 10 02 00 00 D5 | CRC OK
49.179 j1850: 28 1B 10 02 00 00 D5 | CRC OK
49.245 j1850: 28 1B 10 02 00 00 D5 | CRC OK
49.311 j1850: 28 1B 10 02 00 00 D5 | CRC OK
49.376 j1850: 28 1B 10 02 00 00 D5 | CRC OK
49.392 j1850: A8 3B 10 03 00 00 | CRC OK | load=0x00
49.442 j1850: 28 1B 10 02 00 00 D5 | CRC OK
49.507 j1850: 28 1B 10 02 00 00 D5 | CRC OK
49.538 j1850: 68 88 10 03 44 | CRC OK
49.547 j1850: C8 88 10 0E BA | CRC OK
49.558 j1850: C8 89 60 03 9F | CRC OK
49.566 j1850: E8 89 60 0E 54 | CRC OK
49.573 j1850: 28 1B 10 02 00 00 D5 | CRC OK
49.638 j1850: 28 1B 10 02 00 00 D5 | CRC OK
49.704 j1850: 28 1B 10 02 00 00 D5 | CRC OK
49.769 j1850: 28 1B 10 02 00 00 D5 | CRC OK
49.814 j1850: 68 FF 40 03 D8 | CRC OK
49.835 j1850: 28 1B 10 02 00 00 D5 | CRC OK
49.883 j1850: A8 3B 10 03 00 00 | CRC OK | load=0x00
49.900 j1850: 28 1B 10 02 00 00 D5 | CRC OK
49.958 j1850: 68 FF 60 03 AD | CRC OK
49.966 j1850: 28 1B 10 02 00 00 D5 | CRC OK
50.032 j1850: 28 1B 10 02 04 84 AA | CRC OK
50.097 j1850: 28 1B 10 02 0A 5C 55 | CRC OK
50.163 j1850: 28 1B 10 02 06 E4 A6 | CRC OK
50.228 j1850: 28 1B 10 02 0C C8 7F | CRC OK
50.293 j1850: 28 1B 10 02 17 10 55 | CRC OK
50.359 j1850: 28 1B 10 02 0D 84 BC | CRC OK
50.375 j1850: A8 3B 10 03 00 00 | CRC OK | load=0x00
50.415 j1850: 29 92 10 01 60 | CRC OK
50.423 j1850: 28 1B 10 02 17 34 A6 | CRC OK
50.431 j1850: 28 93 40 01 FF FF 39 | CRC OK
50.490 j1850: 28 1B 10 02 13 40 A6 | CRC OK
50.538 j1850: 68 FF 10 03 86 | CRC OK
50.546 j1850: 68 88 10 03 44 | CRC OK
50.552 j1850: C8 89 60 03 9F | CRC OK
50.560 j1850: 28 1B 10 02 19 68 0B | CRC OK
50.571 j1850: C8 88 10 0E BA | CRC OK
50.580 j1850: 28 93 10 02 01 91 | CRC OK
50.587 j1850: E8 89 60 0E 54 | CRC OK
50.621 j1850: 28 1B 10 02 18 5C 79 | CRC OK
50.687 j1850: 28 1B 10 02 16 E4 12 | CRC OK
50.752 j1850: 28 1B 10 02 19 44 10 | CRC OK
50.818 j1850: 28 1B 10 02 19 DC 13 | CRC OK
50.867 j1850: A8 3B 10 03 00 00 | CRC OK | load=0x00
50.884 j1850: 28 1B 10 02 1A 04 D7 | CRC OK
50.949 j1850: 28 1B 10 02 19 B0 1B | CRC OK
51.015 j1850: 28 1B 10 02 1A 40 B0 | CRC OK
51.023 j1850: A8 83 10 0A 00 14 7A | CRC OK
51.080 j1850: 28 1B 10 02 1A 30 E9 | CRC OK
51.146 j1850: 28 1B 10 02 1A 2C B8 | CRC OK
51.211 j1850: 28 1B 10 02 19 F8 E0 | CRC OK
51.277 j1850: 28 1B 10 02 19 DC 13 | CRC OK
51.342 j1850: 28 1B 10 02 19 EC 59 | CRC OK
51.358 j1850: A8 3B 10 03 00 00 | CRC OK | load=0x00
51.408 j1850: 28 1B 10 02 19 C0 42 | CRC OK
51.473 j1850: 28 1B 10 02 19 6C 7F | CRC OK
51.539 j1850: 28 1B 10 02 19 8C CD | CRC OK
51.545 j1850: 68 88 10 03 44 | CRC OK
51.554 j1850: C8 88 10 0E BA | CRC OK
51.575 j1850: C8 89 60 03 9F | CRC OK
51.580 j1850: E8 89 60 0E 54 | CRC OK
51.604 j1850: 28 1B 10 02 19 80 51 | CRC OK
51.670 j1850: 28 1B 10 02 19 7C B2 | CRC OK
51.736 j1850: 28 1B 10 02 19 1C 26 | CRC OK
51.801 j1850: 28 1B 10 02 19 84 25 | CRC OK
51.843 j1850: 68 FF 40 03 D8 | CRC OK
51.850 j1850: A8 3B 10 03 00 00 | CRC OK | load=0x00
51.867 j1850: 28 1B 10 02 19 6C 7F | CRC OK
51.932 j1850: 28 1B 10 02 18 FC D8 | CRC OK
51.972 j1850: 68 FF 60 03 AD | CRC OK
51.998 j1850: 28 1B 10 02 18 DC 5F | CRC OK
52.063 j1850: 28 1B 10 02 18 D8 2B | CRC OK
52.129 j1850: 28 1B 10 02 18 90 D0 | CRC OK
52.194 j1850: 28 1B 10 02 17 DC FC | CRC OK
52.260 j1850: 28 1B 10 02 17 40 8B | CRC OK
52.325 j1850: 28 1B 10 02 17 68 E4 | CRC OK
52.341 j1850: A8 3B 10 03 00 00 | CRC OK | load=0x00
52.391 j1850: 28 1B 10 02 17 EC B6 | CRC OK
52.457 j1850: 28 1B 10 02 17 98 9B | CRC OK
52.522 j1850: 28 1B 10 02 17 C0 AD | CRC OK
52.537 j1850: 68 FF 10 03 86 | CRC OK
52.545 j1850: 68 88 10 03 44 | CRC OK
52.554 j1850: C8 88 10 0E BA | CRC OK
52.572 j1850: C8 89 60 03 9F | CRC OK
52.578 j1850: E8 89 60 0E 54 | CRC OK
52.587 j1850: 28 1B 10 02 17 74 B5 | CRC OK
52.653 j1850: 28 1B 10 02 17 24 6B | CRC OK
52.719 j1850: 28 1B 10 02 17 24 6B | CRC OK
52.784 j1850: 28 1B 10 02 17 10 55 | CRC OK
52.833 j1850: A8 3B 10 03 00 00 | CRC OK | load=0x00
52.850 j1850: 28 1B 10 02 16 C0 E1 | CRC OK
52.915 j1850: 28 1B 10 02 17 38 3A | CRC OK
52.981 j1850: 28 1B 10 02 15 F8 97 | CRC OK
53.046 j1850: 28 1B 10 02 16 38 76 | CRC OK
53.112 j1850: 28 1B 10 02 16 E8 8E | CRC OK
53.121 j1850: A8 83 10 0A 00 28 AC | CRC OK
53.177 j1850: 28 1B 10 02 16 44 B3 | CRC OK
53.243 j1850: 28 1B 10 02 16 D4 58 | CRC OK
53.309 j1850: 28 1B 10 02 17 38 3A | CRC OK
53.324 j1850: A8 3B 10 03 00 00 | CRC OK | load=0x00
53.374 j1850: 28 1B 10 02 16 70 8D | CRC OK
53.440 j1850: 28 1B 10 02 16 D0 2C | CRC OK
53.505 j1850: 28 1B 10 02 16 40 C7 | CRC OK
53.545 j1850: C8 88 10 0E BA | CRC OK
53.566 j1850: C8 89 60 03 9F | CRC OK
53.572 j1850: 28 1B 10 02 15 E0 B2 | CRC OK
53.578 j1850: E8 89 60 0E 54 | CRC OK
53.636 j1850: 28 1B 10 02 15 BC F0 | CRC OK
53.702 j1850: 28 1B 10 02 14 F0 33 | CRC OK
53.767 j1850: 28 1B 10 02 14 98 4F | CRC OK
53.816 j1850: A8 3B 10 03 00 00 | CRC OK | load=0x00
53.833 j1850: 28 1B 10 02 14 8C F6 | CRC OK
53.874 j1850: 68 FF 40 03 D8 | CRC OK
53.898 j1850: 28 1B 10 02 14 70 15 | CRC OK
53.964 j1850: 28 1B 10 02 14 C4 0D | CRC OK
53.990 j1850: 68 FF 60 03 AD | CRC OK
54.029 j1850: 28 1B 10 02 13 BC 45 | CRC OK
54.095 j1850: 28 1B 10 02 13 A0 14 | CRC OK
54.160 j1850: 28 1B 10 02 14 C8 91 | CRC OK
54.226 j1850: 28 1B 10 02 14 40 5F | CRC OK
54.291 j1850: 28 1B 10 02 14 6C 44 | CRC OK
54.307 j1850: A8 3B 10 03 00 00 | CRC OK | load=0x00
54.357 j1850: 28 1B 10 02 15 BC F0 | CRC OK
54.422 j1850: 28 1B 10 02 15 58 36 | CRC OK
54.488 j1850: 28 1B 10 02 16 0C 48 | CRC OK
54.536 j1850: 68 FF 10 03 86 | CRC OK
54.544 j1850: 68 88 10 03 44 | CRC OK
54.553 j1850: 28 1B 10 02 15 74 2D | CRC OK
54.569 j1850: C8 89 60 03 9F | CRC OK
54.575 j1850: E8 89 60 0E 54 | CRC OK
54.619 j1850: 28 1B 10 02 15 9C 77 | CRC OK
54.685 j1850: 28 1B 10 02 15 30 4A | CRC OK
54.750 j1850: 28 1B 10 02 14 74 61 | CRC OK
54.799 j1850: A8 3B 10 03 00 00 | CRC OK | load=0x00
54.816 j1850: 28 1B 10 02 14 D8 5C | CRC OK
54.881 j1850: 28 1B 10 02 15 60 94 | CRC OK
54.947 j1850: 28 1B 10 02 15 3C D6 | CRC OK
55.012 j1850: 28 1B 10 02 15 2C 1B | CRC OK
55.078 j1850: 28 1B 10 02 15 14 B9 | CRC OK
55.144 j1850: 28 1B 10 02 14 80 6A | CRC OK
55.209 j1850: 28 1B 10 02 14 4C C3 | CRC OK
55.275 j1850: 28 1B 10 02 14 B0 20 | CRC OK
55.290 j1850: A8 3B 10 03 00 00 | CRC OK | load=0x00
55.340 j1850: 28 1B 10 02 14 BC BC | CRC OK
55.406 j1850: 28 1B 10 02 14 F8 DB | CRC OK
55.454 j1850: A8 49 10 10 7B 2A | CRC OK | temp=0x7B
55.471 j1850: 28 1B 10 02 15 60 94 | CRC OK
55.537 j1850: 28 1B 10 02 14 A8 05 | CRC OK
55.543 j1850: 68 88 10 03 44 | CRC OK
55.552 j1850: C8 88 10 0E BA | CRC OK
55.560 j1850: C8 89 60 03 9F | CRC OK
55.566 j1850: E8 89 60 0E 54 | CRC OK
55.602 j1850: 28 1B 10 02 14 D8 5C | CRC OK
55.668 j1850: 28 1B 10 02 15 44 67 | CRC OK
55.733 j1850: 28 1B 10 02 15 1C 51 | CRC OK
55.782 j1850: A8 3B 10 03 00 00 | CRC OK | load=0x00
55.799 j1850: 28 1B 10 02 15 30 4A | CRC OK
55.865 j1850: 28 1B 10 02 15 E8 5A | CRC OK
55.873 j1850: A8 83 10 0A 00 3C 15 | CRC OK
55.903 j1850: 68 FF 40 03 D8 | CRC OK
55.930 j1850: 28 1B 10 02 15 68 7C | CRC OK
55.995 j1850: 28 1B 10 02 14 CC E5 | CRC OK
56.007 j1850: 68 FF 60 03 AD | CRC OK
56.061 j1850: 28 1B 10 02 14 A8 05 | CRC OK
56.126 j1850: 28 1B 10 02 14 74 61 | CRC OK
56.192 j1850: 28 1B 10 02 14 74 61 | CRC OK
56.258 j1850: 28 1B 10 02 14 5C 0E | CRC OK
56.273 j1850: A8 3B 10 03 00 00 | CRC OK | load=0x00
56.323 j1850: 28 1B 10 02 14 50 92 | CRC OK
56.389 j1850: 28 1B 10 02 14 40 5F | CRC OK
56.454 j1850: 28 1B 10 02 14 84 1E | CRC OK
56.520 j1850: 28 1B 10 02 14 A8 05 | CRC OK
56.535 j1850: 68 FF 10 03 86 | CRC OK
56.543 j1850: 68 88 10 03 44 | CRC OK
56.550 j1850: C8 88 10 0E BA | CRC OK
56.556 j1850: C8 89 60 03 9F | CRC OK
56.578 j1850: E8 89 60 0E 54 | CRC OK
56.585 j1850: 28 1B 10 02 15 1C 51 | CRC OK
56.651 j1850: 28 1B 10 02 14 F4 47 | CRC OK
56.716 j1850: 28 1B 10 02 14 90 A7 | CRC OK
56.765 j1850: A8 3B 10 03 00 00 | CRC OK | load=0x00
56.782 j1850: 28 1B 10 02 14 A0 ED | CRC OK
56.847 j1850: 28 1B 10 02 14 1C 1D | CRC OK
56.913 j1850: 28 1B 10 02 14 48 B7 | CRC OK
56.979 j1850: 28 1B 10 02 14 3C 9A | CRC OK
57.044 j1850: 28 1B 10 02 13 98 B6 | CRC OK
57.110 j1850: 28 1B 10 02 13 80 93 | CRC OK
57.175 j1850: 28 1B 10 02 13 7C 70 | CRC OK
57.241 j1850: 28 1B 10 02 14 58 7A | CRC OK
57.256 j1850: A8 3B 10 03 00 00 | CRC OK | load=0x00
57.306 j1850: 28 1B 10 02 14 5C 0E | CRC OK
57.372 j1850: 28 1B 10 02 15 10 CD | CRC OK
57.438 j1850: 28 1B 10 02 14 80 6A | CRC OK
57.503 j1850: 28 1B 10 02 13 B4 AD | CRC OK
57.534 j1850: 68 88 10 03 44 | CRC OK
57.543 j1850: C8 88 10 0E BA | CRC OK
57.551 j1850: C8 89 60 03 9F | CRC OK
57.557 j1850: E8 89 60 0E 54 | CRC OK
57.568 j1850: 28 1B 10 02 14 50 92 | CRC OK
57.634 j1850: 28 1B 10 02 14 5C 0E | CRC OK
57.699 j1850: 28 1B 10 02 13 DC D1 | CRC OK
57.748 j1850: A8 3B 10 03 00 00 | CRC OK | load=0x00
57.765 j1850: 28 1B 10 02 13 78 04 | CRC OK
57.830 j1850: 28 1B 10 02 13 5C F7 | CRC OK
57.896 j1850: 28 1B 10 02 14 34 72 | CRC OK
57.962 j1850: 28 1B 10 02 13 FC 56 | CRC OK
58.032 j1850: 68 FF 60 03 AD | CRC OK
58.093 j1850: 28 1B 10 02 14 CC E5 | CRC OK
58.158 j1850: 28 1B 10 02 15 5C 42 | CRC OK
58.224 j1850: 28 1B 10 02 15 88 CE | CRC OK
58.240 j1850: A8 3B 10 03 00 00 | CRC OK | load=0x00
58.289 j1850: 28 1B 10 02 15 20 87 | CRC OK
58.355 j1850: 28 1B 10 02 15 18 25 | CRC OK
58.421 j1850: 28 1B 10 02 14 B8 C8 | CRC OK
58.486 j1850: 28 1B 10 02 14 78 FD | CRC OK
58.534 j1850: 68 FF 10 03 86 | CRC OK
